key,resgistrationMoment,passengerEmail,description,type,state,key:assistance-agent,key:user-account,key:leg,draftMode
claim-01,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
#resgistrationMoment,"","","","","","","","",""
claim-02,2000/01/01 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-03,2000/01/01 0:01,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-04,2022/07/29 23:59,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-05,2022/07/30 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
#passengerEmail
claim-06,2011/04/16 0:00,jiahu3@alum.us.es,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-07,2011/04/16 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-08,2011/04/16 0:00,a@b.e,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-09,2011/04/16 0:00,a@b.es,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-10,2011/04/16 0:00,a@b.esx,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-11,2011/04/16 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
#description
claim-12,2011/04/16 0:00,acme@lorem-ipsum.org,L,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-13,2011/04/16 0:00,acme@lorem-ipsum.org,Lo,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-14,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-15,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-16,2011/04/16 0:00,acme@lorem-ipsum.org,โลเร็ม อิปซัม,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-17,2011/04/16 0:00,acme@lorem-ipsum.org,لوريم إيبسوم,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-18,2011/04/16 0:00,acme@lorem-ipsum.org,洛伦·伊普森,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-19,2011/04/16 0:00,acme@lorem-ipsum.org,<marquee>Hacked</marquee>,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-20,2011/04/16 0:00,acme@lorem-ipsum.org,<script>alert(‘Hacked!’);</script>,FLIGHT_ISSUES,REJECTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-21,2011/04/16 0:00,acme@lorem-ipsum.org,' or 'A' = 'A,FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-22,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ACCEPTED,assistance-agent-01,user-account-consumer-01,leg-01,false
#type
claim-23,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",LUGGAGE_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-24,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",SECURITY_INCIDENT,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
claim-25,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",OTHER_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
#indicator,"","","","","","","","",""
claim-26,2011/04/16 0:00,acme@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,ONGOING,assistance-agent-01,user-account-consumer-01,leg-01,false
#
